year day bgsex bgsey bgsez
2019 48 0.010 2.931 -1.860
2019 48 0.328 3.099 -1.587
2019 48 0.054 3.108 -1.734
2019 48 0.158 2.995 -1.793
2019 48 -0.000 3.222 -1.668
2019 48 0.013 3.284 -1.480
2019 48 0.025 3.411 -1.073
2019 48 -0.089 3.334 -1.364
2019 48 -0.586 3.105 -1.262
2019 48 -0.010 3.112 -1.161
2019 48 1.553 3.427 -0.654
2019 48 1.484 3.568 -0.857
2019 48 1.513 3.486 -0.697
2019 48 0.925 3.274 -0.704
2019 48 1.083 3.327 -0.899
2019 48 1.368 3.227 -0.708
2019 48 1.418 3.218 -0.597
2019 48 1.497 3.165 -0.493
2019 48 1.531 3.189 -0.130
2019 48 1.153 3.319 -0.866
2019 48 0.738 3.461 -0.234
2019 48 0.315 3.283 0.261
2019 48 -0.423 3.073 0.942
2019 48 -0.442 3.234 0.743
2019 48 -0.446 3.275 0.681
2019 48 -0.587 3.270 0.820
2019 48 -0.360 3.181 1.208
2019 48 -0.409 2.964 1.581
2019 48 -0.040 3.155 0.322
2019 48 0.034 3.301 -0.064
2019 48 -0.061 3.263 -0.359
2019 48 -0.580 3.070 -0.871
2019 48 -0.003 3.290 0.191
2019 48 0.009 3.444 0.237
2019 48 -0.490 3.274 0.472
2019 48 -0.789 3.303 0.997
2019 48 -1.061 2.972 1.829
2019 48 -0.910 3.060 0.778
2019 48 0.096 3.169 -2.288
2019 48 0.082 3.086 -2.133
2019 48 0.007 3.093 -1.883
2019 48 0.036 3.307 -1.578
2019 48 -0.043 3.195 -1.768
2019 48 -0.073 3.152 -1.780
2019 48 -0.121 3.250 -1.864
2019 48 -0.258 3.272 -1.493
2019 48 -0.560 3.267 -1.590
2019 48 0.342 3.470 -1.325
2019 48 0.299 3.370 -1.945
2019 48 0.029 3.139 -2.058
2019 48 0.004 2.980 -2.221
2019 48 -0.201 2.783 -2.399
2019 48 -0.344 2.608 -2.425
2019 48 -0.494 2.769 -2.146
2019 48 -0.550 2.830 -2.115
2019 48 0.258 2.423 -2.503
2019 48 0.757 2.949 -1.808
2019 48 -1.130 2.458 -2.268
2019 48 -1.352 2.418 -2.008
2019 48 -1.782 2.196 -2.030
2019 48 -2.041 1.997 -1.882
2019 48 -2.313 1.680 -1.754
2019 48 -2.696 1.412 -1.366
2019 48 -2.395 1.685 -1.765
2019 48 -2.325 1.650 -1.967
2019 48 -2.646 1.371 -1.790
2019 48 -2.532 1.361 -1.835
2019 48 -2.534 1.260 -1.942
2019 48 -2.553 1.150 -1.692
2019 48 -0.825 2.558 -1.468
2019 48 -0.082 3.171 -1.335
2019 48 0.081 3.214 -1.224
