year day hr min sec b_gse_x b_gse_y b_gse_z 
2019 48 0 0 29.030 0.010 2.931 -1.860
2019 48 0 1 33.053 0.328 3.099 -1.587
2019 48 0 2 36.989 0.054 3.108 -1.734
2019 48 0 3 41.011 0.158 2.995 -1.793
2019 48 0 4 45.034 -0.000 3.222 -1.668
2019 48 0 5 49.056 0.013 3.284 -1.480
2019 48 0 6 52.992 0.025 3.411 -1.073
2019 48 0 7 57.014 -0.089 3.334 -1.364
2019 48 0 9 1.037 -0.586 3.105 -1.262
2019 48 0 10 5.059 -0.010 3.112 -1.161
2019 48 0 11 8.995 1.553 3.427 -0.654
2019 48 0 12 13.018 1.484 3.568 -0.857
2019 48 0 13 17.040 1.513 3.486 -0.697
2019 48 0 14 20.976 0.925 3.274 -0.704
2019 48 0 15 24.998 1.083 3.327 -0.899
2019 48 0 16 29.021 1.368 3.227 -0.708
2019 48 0 17 33.043 1.418 3.218 -0.597
2019 48 0 18 36.979 1.497 3.165 -0.493
2019 48 0 19 41.002 1.531 3.189 -0.130
2019 48 0 20 45.024 1.153 3.319 -0.866
2019 48 0 21 49.046 0.738 3.461 -0.234
2019 48 0 22 52.982 0.315 3.283 0.261
2019 48 0 23 57.005 -0.423 3.073 0.942
2019 48 0 25 1.027 -0.442 3.234 0.743
2019 48 0 26 5.050 -0.446 3.275 0.681
2019 48 0 27 8.986 -0.587 3.270 0.820
2019 48 0 28 13.008 -0.360 3.181 1.208
2019 48 0 29 17.030 -0.409 2.964 1.581
2019 48 0 30 21.053 -0.040 3.155 0.322
2019 48 0 31 24.989 0.034 3.301 -0.064
2019 48 0 32 29.011 -0.061 3.263 -0.359
2019 48 0 33 33.034 -0.580 3.070 -0.871
2019 48 0 34 37.056 -0.003 3.290 0.191
2019 48 0 35 40.992 0.009 3.444 0.237
2019 48 0 36 45.014 -0.490 3.274 0.472
2019 48 0 37 49.037 -0.789 3.303 0.997
2019 48 0 38 52.973 -1.061 2.972 1.829
2019 48 0 39 56.995 -0.910 3.060 0.778
2019 48 0 41 1.018 0.096 3.169 -2.288
2019 48 0 42 5.040 0.082 3.086 -2.133
2019 48 0 43 8.976 0.007 3.093 -1.883
2019 48 0 44 12.998 0.036 3.307 -1.578
2019 48 0 45 17.021 -0.043 3.195 -1.768
2019 48 0 46 21.043 -0.073 3.152 -1.780
2019 48 0 47 24.979 -0.121 3.250 -1.864
2019 48 0 48 29.002 -0.258 3.272 -1.493
2019 48 0 49 33.024 -0.560 3.267 -1.590
2019 48 0 50 37.046 0.342 3.470 -1.325
2019 48 0 51 40.982 0.299 3.370 -1.945
2019 48 0 52 45.005 0.029 3.139 -2.058
2019 48 0 53 49.027 0.004 2.980 -2.221
2019 48 0 54 53.050 -0.201 2.783 -2.399
